,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
223,Joe Thornton,20192020,SJS,L,C,70,7,24,31,-19,34,0.44,4,23,3,8,0,0,0,1,76,9.2,15:30,49.4
224,Nate Schmidt,20192020,VGK,L,D,59,7,24,31,11,12,0.53,6,24,1,7,0,0,0,0,112,6.3,21:41,--
225,Josh Morrissey,20192020,WPG,L,D,65,5,26,31,1,24,0.48,4,19,1,12,0,0,0,0,120,4.2,22:46,--
226,Mark Giordano,20192020,CGY,L,D,60,5,26,31,2,34,0.52,3,18,2,11,0,2,0,0,157,3.2,23:53,--
227,Mikael Granlund,20192020,NSH,L,C,63,17,13,30,-4,28,0.48,12,23,4,6,1,1,2,4,130,13.1,17:48,48.7
228,Zach Sanford,20192020,STL,L,L,58,16,14,30,13,28,0.52,15,29,1,1,0,0,0,3,90,17.8,13:44,11.1
229,Joel Armia,20192020,MTL,R,R,58,16,14,30,2,28,0.52,10,22,3,4,3,4,0,2,155,10.3,17:14,36.4
230,Warren Foegele,20192020,CAR,L,L,68,13,17,30,9,34,0.44,10,27,0,0,3,3,0,1,129,10.1,13:43,47.4
231,Yanni Gourde,20192020,TBL,L,C,70,10,20,30,-5,49,0.43,7,21,1,6,2,3,1,5,110,9.1,14:04,54.1
232,Marcus Johansson,20192020,BUF,L,C,60,9,21,30,-12,20,0.5,8,24,1,6,0,0,1,1,87,10.3,17:09,40
233,Oliver Ekman-Larsson,20192020,ARI,L,D,66,9,21,30,-3,38,0.45,6,22,2,7,1,1,0,1,135,6.7,23:01,--
234,Seth Jones,20192020,CBJ,R,D,56,6,24,30,10,20,0.54,4,20,2,9,0,1,0,0,126,4.8,25:17:00,--
235,Denis Gurianov,20192020,DAL,L,R,64,20,9,29,5,13,0.45,13,17,7,12,0,0,0,4,132,15.2,12:59,--
236,Tyler Bozak,20192020,STL,R,C,67,13,16,29,0,10,0.43,10,24,2,4,1,1,0,2,109,11.9,15:19,55
237,Jesper Fast,20192020,NYR,R,R,69,12,17,29,16,20,0.42,10,27,0,0,2,2,0,1,84,14.3,16:36,34.6
238,Jack Roslovic,20192020,WPG,R,C,71,12,17,29,4,12,0.41,11,27,1,2,0,0,0,0,117,10.3,14:54,47.3
239,Nino Niederreiter,20192020,CAR,L,R,67,11,18,29,-3,42,0.43,7,18,4,11,0,0,0,2,115,9.6,14:49,25
240,Derek Ryan,20192020,CGY,R,C,68,10,19,29,9,10,0.43,8,23,1,4,1,2,0,0,102,9.8,14:33,52.3
241,Cam Fowler,20192020,ANA,L,D,59,9,20,29,0,20,0.49,7,21,2,8,0,0,0,2,117,7.7,21:59,--
242,Joel Eriksson Ek,20192020,MIN,L,C,62,8,21,29,7,22,0.47,7,27,1,1,0,1,0,4,102,7.8,15:43,46.2
243,Ryan Dzingel,20192020,CAR,L,C,64,8,21,29,3,30,0.45,4,20,4,9,0,0,0,1,98,8.2,14:09,31
244,Erik Gustafsson,20192020,CHI,L,D,66,6,23,29,-9,27,0.44,4,20,2,9,0,0,0,0,103,5.8,20:23,--
245,Viktor Arvidsson,20192020,NSH,R,R,57,15,13,28,-4,26,0.49,11,20,4,8,0,0,0,1,127,11.8,16:12,57.9
246,Derek Stepan,20192020,ARI,R,C,70,10,18,28,-4,16,0.4,8,20,1,7,1,1,1,2,158,6.3,17:39,47.5
247,Colton Parayko,20192020,STL,R,D,64,10,18,28,8,16,0.44,7,22,3,5,0,1,1,1,162,6.2,23:00,--
248,Alexander Kerfoot,20192020,TOR,L,C,65,9,19,28,-2,32,0.43,8,25,1,3,0,0,0,1,88,10.2,14:46,46.9
249,Jordan Greenway,20192020,MIN,L,L,67,8,20,28,2,54,0.42,8,25,0,3,0,0,0,1,93,8.6,14:10,55.6
250,Devon Toews,20192020,NYI,L,D,68,6,22,28,1,16,0.41,5,22,1,6,0,0,1,1,122,4.9,20:31,--
251,Jonas Brodin,20192020,MIN,L,D,69,2,26,28,15,24,0.41,2,25,0,1,0,2,0,0,103,1.9,21:33,--
252,Noel Acciari,20192020,FLA,R,C,66,20,7,27,2,21,0.41,19,26,0,0,1,1,0,5,108,18.5,15:58,48
253,Jeff Carter,20192020,LAK,R,C,60,17,10,27,-21,36,0.45,14,22,3,5,0,0,1,7,182,9.3,16:56,51.2
254,Scott Laughton,20192020,PHI,L,C,49,13,14,27,13,26,0.55,13,27,0,0,0,0,0,2,74,17.6,14:36,53.9
255,Valeri Nichushkin,20192020,COL,L,R,65,13,14,27,26,14,0.42,11,25,1,1,1,1,0,3,113,11.5,14:04,40
256,Artturi Lehkonen,20192020,MTL,L,L,70,13,14,27,2,24,0.39,12,26,0,0,1,1,0,1,140,9.3,15:26,46.2
257,Jordan Staal,20192020,CAR,L,C,68,8,19,27,3,40,0.4,6,24,2,3,0,0,0,0,125,6.4,17:30,54.4
258,Jacob Trouba,20192020,NYR,R,D,70,7,20,27,-12,61,0.39,3,17,4,8,0,2,0,1,168,4.2,22:34,--
259,Dmitry Orlov,20192020,WSH,L,D,69,4,23,27,5,36,0.39,3,21,1,5,0,1,1,2,105,3.8,22:10,--
260,Duncan Keith,20192020,CHI,L,D,61,3,24,27,1,18,0.44,1,16,2,11,0,0,0,0,111,2.7,24:23:00,--
261,Morgan Rielly,20192020,TOR,L,D,47,3,24,27,6,24,0.57,3,20,0,7,0,0,1,2,123,2.4,24:12:00,0
