,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
682,Yannick Weber,20192020,NSH,R,D,41,1,2,3,-1,14,0.07,1,3,0,0,0,0,0,1,45,2.2,14:01,--
683,Christian Djoos,20192020,WSH,L,D,11,1,2,3,3,0,0.27,1,2,0,1,0,0,0,0,13,7.7,19:06,--
684,Luke Schenn,20192020,TBL,R,D,25,1,2,3,-8,23,0.12,1,3,0,0,0,0,0,0,31,3.2,12:27,--
685,Andrew Peeke,20192020,CBJ,R,D,22,1,2,3,1,4,0.14,1,3,0,0,0,0,0,0,23,4.4,13:51,--
686,Alex Biega,20192020,DET,R,D,49,0,3,3,-9,24,0.06,0,3,0,0,0,0,0,0,55,0,16:25,--
687,Matt Tennyson,20192020,NJD,R,D,20,0,3,3,-2,6,0.15,0,3,0,0,0,0,0,0,14,0,12:09,--
688,Christian Jaros,20192020,OTT,R,D,13,0,3,3,-2,6,0.23,0,2,0,0,0,1,0,0,5,0,10:31,--
689,Andreas Englund,20192020,OTT,L,D,24,0,3,3,-8,12,0.13,0,3,0,0,0,0,0,0,10,0,10:54,--
690,Matt Irwin,20192020,NSH,L,D,36,0,3,3,-15,15,0.08,0,3,0,0,0,0,0,0,58,0,14:28,--
691,Greg Pateryn,20192020,MIN,R,D,20,0,3,3,1,6,0.15,0,3,0,0,0,0,0,0,22,0,15:28,--
692,Nic Petan,20192020,TOR,L,C,16,0,3,3,-4,4,0.19,0,3,0,0,0,0,0,0,19,0,11:07,25
693,Adam Brooks,20192020,TOR,L,C,7,0,3,3,1,0,0.43,0,3,0,0,0,0,0,0,2,0,7:51,50
694,Julien Gauthier,20192020,CAR,R,R,17,0,3,3,1,8,0.18,0,3,0,0,0,0,0,0,10,0,8:17,33.3
695,Justin Abdelkader,20192020,DET,L,L,49,0,3,3,-14,25,0.06,0,3,0,0,0,0,0,0,40,0,11:32,55.1
696,Calle Rosen,20192020,COL,L,D,12,0,3,3,0,4,0.25,0,3,0,0,0,0,0,0,14,0,13:35,--
697,Tyler Graovac,20192020,VAN,L,C,8,2,0,2,-2,2,0.25,0,0,2,2,0,0,0,0,5,40,6:16,36.4
698,Connor Clifton,20192020,BOS,R,D,31,2,0,2,4,12,0.06,2,2,0,0,0,0,0,0,20,10,14:25,--
699,Logan O'Connor,20192020,COL,R,R,16,2,0,2,0,2,0.13,2,2,0,0,0,0,0,1,15,13.3,8:26,0
700,Gerald Mayhew,20192020,MIN,R,C,13,2,0,2,4,2,0.15,2,2,0,0,0,0,0,0,16,12.5,11:33,50
701,Ryan Poehling,20192020,MTL,L,C,27,1,1,2,-4,4,0.07,1,2,0,0,0,0,0,0,26,3.9,10:20,20
702,Sam Carrick,20192020,ANA,R,C,9,1,1,2,-3,0,0.22,0,1,0,0,1,1,0,0,16,6.3,13:46,45.8
703,Charles Hudon,20192020,MTL,L,L,15,1,1,2,-9,0,0.13,1,2,0,0,0,0,0,1,22,4.6,11:32,25
704,Cody Goloubef,20192020,OTT,R,D,26,1,1,2,-3,8,0.08,1,2,0,0,0,0,0,0,18,5.6,15:11,--
705,Scott Wilson,20192020,BUF,L,C,6,1,1,2,1,2,0.33,1,2,0,0,0,0,0,0,8,12.5,11:38,--
706,Nick Caamano,20192020,DAL,L,R,12,1,1,2,2,4,0.17,1,2,0,0,0,0,0,0,13,7.7,9:58,50
707,Christian Folin,20192020,MTL,R,D,16,1,1,2,-1,13,0.13,1,2,0,0,0,0,0,0,13,7.7,14:26,--
708,Jeremy Lauzon,20192020,BOS,L,D,19,1,1,2,5,29,0.11,1,2,0,0,0,0,0,0,20,5,15:25,--
709,Nathan Walker,20192020,STL,L,L,5,1,1,2,-2,4,0.4,1,2,0,0,0,0,0,0,6,16.7,11:08,100
710,Adam Johnson,20192020,PIT,L,C,7,1,1,2,-1,2,0.29,1,2,0,0,0,0,0,0,5,20,6:42,--
711,Fredrik Claesson,20192020,NJD,L,D,5,1,1,2,1,0,0.4,1,2,0,0,0,0,0,0,1,100,14:29,--
712,Cole Bardreau,20192020,NYI,R,C,10,1,1,2,-2,6,0.2,1,2,0,0,0,0,0,1,10,10,8:52,42
713,Nick Bjugstad,20192020,PIT,R,C,13,1,1,2,3,8,0.15,1,2,0,0,0,0,0,0,18,5.6,12:14,39.6
714,Nicholas Merkley,20192020,NJD,L,R,4,1,1,2,0,2,0.5,1,2,0,0,0,0,0,0,8,12.5,11:22,--
715,Daniel Sprong,20192020,ANA,R,R,8,1,1,2,-2,0,0.25,0,1,1,1,0,0,0,0,17,5.9,14:06,--
716,Connor Bunnaman,20192020,PHI,L,C,21,1,1,2,7,2,0.1,1,2,0,0,0,0,0,0,18,5.6,9:17,37.5
717,Xavier Ouellet,20192020,MTL,L,D,12,0,2,2,0,4,0.17,0,2,0,0,0,0,0,0,8,0,13:54,--
718,Steven Kampfer,20192020,BOS,R,D,10,0,2,2,2,2,0.2,0,0,0,2,0,0,0,0,13,0,13:38,--
719,Tomas Jurco,20192020,EDM,L,R,12,0,2,2,1,4,0.17,0,2,0,0,0,0,0,0,7,0,9:59,50
720,Zach Senyshyn,20192020,BOS,R,R,4,0,2,2,1,0,0.5,0,2,0,0,0,0,0,0,1,0,8:26,100
721,Brandon Pirri,20192020,VGK,L,C,16,0,2,2,-4,8,0.13,0,2,0,0,0,0,0,0,24,0,12:34,66.7
722,Joe Hicketts,20192020,DET,L,D,6,0,2,2,-5,2,0.33,0,2,0,0,0,0,0,0,6,0,18:17,--
723,Joel Hanley,20192020,DAL,L,D,8,0,2,2,0,6,0.25,0,2,0,0,0,0,0,0,4,0,11:21,--
724,Mark Barberio,20192020,COL,L,D,21,0,2,2,3,16,0.1,0,2,0,0,0,0,0,0,29,0,14:06,--
725,Nico Sturm,20192020,MIN,L,C,6,0,2,2,2,0,0.33,0,2,0,0,0,0,0,0,2,0,11:54,53.1
726,Michael McLeod,20192020,NJD,R,C,12,0,2,2,4,4,0.17,0,2,0,0,0,0,0,0,11,0,10:14,50
727,Joel Persson,20192020,EDM,R,D,13,0,2,2,-1,2,0.15,0,2,0,0,0,0,0,0,17,0,15:19,--
728,Sven Baertschi,20192020,VAN,L,L,6,0,2,2,-2,4,0.33,0,0,0,2,0,0,0,0,7,0,11:49,--
729,Matthew Peca,20192020,MTL,L,C,14,0,2,2,-4,0,0.14,0,2,0,0,0,0,0,0,7,0,10:27,54.4
730,Jacob Middleton,20192020,SJS,L,D,10,0,2,2,-2,9,0.2,0,2,0,0,0,0,0,0,9,0,10:46,--
731,Lukas Vejdemo,20192020,MTL,L,C,7,1,0,1,0,0,0.14,1,1,0,0,0,0,0,0,7,14.3,8:01,20
732,Daniel Carr,20192020,NSH,L,L,11,1,0,1,-5,4,0.09,1,1,0,0,0,0,0,0,14,7.1,10:20,0
733,Jani Hakanpaa,20192020,ANA,R,D,5,1,0,1,1,2,0.2,1,1,0,0,0,0,0,0,4,25,18:07,--
734,Brandon Manning,20192020,EDM,L,D,9,1,0,1,-1,17,0.11,1,1,0,0,0,0,0,0,8,12.5,11:03,--
735,Miikka Salomaki,20192020,NSH,L,R,5,1,0,1,2,4,0.2,1,1,0,0,0,0,0,1,2,50,12:09,--
736,Patrick Brown,20192020,VGK,R,C,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2,50,10:04,--
737,Joel Kiviranta,20192020,DAL,L,L,11,1,0,1,-1,4,0.09,1,1,0,0,0,0,0,0,13,7.7,10:39,--
738,Anthony Angello,20192020,PIT,R,C,8,1,0,1,-1,4,0.13,1,1,0,0,0,0,0,0,5,20,5:43,0
739,Cale Fleury,20192020,MTL,R,D,41,1,0,1,-4,6,0.02,1,1,0,0,0,0,0,0,45,2.2,14:21,--
740,Buddy Robinson,20192020,CGY,R,R,5,1,0,1,0,7,0.2,1,1,0,0,0,0,0,0,6,16.7,12:14,--
741,Mikey Anderson,20192020,LAK,L,D,6,1,0,1,4,0,0.17,1,1,0,0,0,0,0,1,9,11.1,18:09,--
742,Colby Cave,20192020,EDM,L,C,11,1,0,1,-3,4,0.09,1,1,0,0,0,0,0,0,5,20,9:39,46.8
743,Micheal Haley,20192020,NYR,L,L,22,1,0,1,-7,50,0.05,1,1,0,0,0,0,0,0,9,11.1,5:32,58.3
744,Andrew Ladd,20192020,NYI,L,L,4,1,0,1,2,4,0.25,1,1,0,0,0,0,0,0,5,20,11:58,--
745,Carsen Twarynski,20192020,PHI,L,L,15,1,0,1,-2,4,0.07,1,1,0,0,0,0,0,0,14,7.1,10:41,0
746,Gemel Smith,20192020,TBL,L,C,3,1,0,1,0,4,0.33,1,1,0,0,0,0,0,0,1,100,9:10,65
747,Alan Quine,20192020,CGY,L,C,9,1,0,1,-1,4,0.11,1,1,0,0,0,0,0,0,12,8.3,9:48,100
748,David Kase,20192020,PHI,L,R,6,1,0,1,1,0,0.17,1,1,0,0,0,0,0,1,5,20,9:47,100
749,Troy Brouwer,20192020,STL,R,R,13,1,0,1,1,7,0.08,1,1,0,0,0,0,0,0,12,8.3,9:28,50
750,Maxim Letunov,20192020,SJS,L,C,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,0,3,33.3,9:05,50
751,Egor Korshkov,20192020,TOR,L,R,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,100,10:08,--
752,Klim Kostin,20192020,STL,L,C,4,1,0,1,1,0,0.25,1,1,0,0,0,0,0,0,5,20,8:32,--
753,Vitaly Abramov,20192020,OTT,L,L,2,1,0,1,0,2,0.5,1,1,0,0,0,0,0,0,3,33.3,5:47,--
754,Kyle Capobianco,20192020,ARI,L,D,9,1,0,1,-1,2,0.11,1,1,0,0,0,0,0,0,10,10,14:46,--
755,Joel L'Esperance,20192020,DAL,R,C,3,1,0,1,0,2,0.33,1,1,0,0,0,0,0,0,2,50,7:21,0
756,David Gustafsson,20192020,WPG,L,C,22,1,0,1,-2,0,0.05,1,1,0,0,0,0,0,1,4,25,6:09,54
757,Brian Lashoff,20192020,DET,L,D,9,0,1,1,1,6,0.11,0,1,0,0,0,0,0,0,6,0,14:33,--
758,Peter Cehlarik,20192020,BOS,L,L,3,0,1,1,-1,2,0.33,0,1,0,0,0,0,0,0,0,--,11:16,50
759,Mason Marchment,20192020,TOR,L,L,4,0,1,1,0,0,0.25,0,1,0,0,0,0,0,0,3,0,8:05,100
760,Tim Gettinger,20192020,NYR,L,L,2,0,1,1,1,0,0.5,0,1,0,0,0,0,0,0,3,0,8:23,0
761,Jordan Gross,20192020,ARI,R,D,2,0,1,1,2,0,0.5,0,1,0,0,0,0,0,0,3,0,16:11,--
762,Paul LaDue,20192020,LAK,R,D,2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,2,0,12:48,--
763,J.C. Beaudin,20192020,OTT,R,C,22,0,1,1,-4,7,0.05,0,1,0,0,0,0,0,0,18,0,8:38,52.5
764,Mathieu Olivier,20192020,NSH,R,R,8,0,1,1,1,4,0.13,0,1,0,0,0,0,0,0,6,0,7:33,--
765,Clark Bishop,20192020,CAR,L,C,5,0,1,1,-2,4,0.2,0,1,0,0,0,0,0,0,4,0,7:39,38.2
766,Ryan MacInnis,20192020,CBJ,L,C,10,0,1,1,1,0,0.1,0,1,0,0,0,0,0,0,13,0,9:21,37
767,Carl Dahlstrom,20192020,WPG,L,D,15,0,1,1,-4,6,0.07,0,1,0,0,0,0,0,0,9,0,14:46,--
768,Niko Mikkola,20192020,STL,L,D,5,0,1,1,3,0,0.2,0,1,0,0,0,0,0,0,10,0,14:22,--
769,Ben Street,20192020,NJD,L,C,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,0,4,0,8:08,45.5
770,Gage Quinney,20192020,VGK,L,C,3,0,1,1,-1,0,0.33,0,1,0,0,0,0,0,0,2,0,9:43,47.1
771,Liam Foudy,20192020,CBJ,L,C,2,0,1,1,1,0,0.5,0,1,0,0,0,0,0,0,3,0,14:13,--
772,Mark Friedman,20192020,PHI,R,D,6,0,1,1,0,2,0.17,0,1,0,0,0,0,0,0,2,0,13:35,--
773,Zach Whitecloud,20192020,VGK,R,D,16,0,1,1,3,4,0.06,0,1,0,0,0,0,0,0,9,0,14:19,--
774,T.J. Tynan,20192020,COL,R,C,16,0,1,1,-1,2,0.06,0,1,0,0,0,0,0,0,7,0,8:28,16.7
775,Jack Studnicka,20192020,BOS,R,C,2,0,1,1,2,2,0.5,0,1,0,0,0,0,0,0,3,0,12:08,60
776,Brendan Gaunce,20192020,BOS,L,C,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,--,9:10,0
777,Derek Forbort,20192020,LAK,L,D,20,0,1,1,-5,4,0.05,0,1,0,0,0,0,0,0,22,0,17:49,--
778,Alexander Volkov,20192020,TBL,L,R,9,0,1,1,-6,6,0.11,0,1,0,0,0,0,0,0,7,0,10:16,25
779,Cory Conacher,20192020,TBL,L,C,4,0,1,1,-2,4,0.25,0,1,0,0,0,0,0,0,5,0,11:05,--
780,Andy Andreoff,20192020,PHI,L,C,14,0,1,1,-3,2,0.07,0,1,0,0,0,0,0,0,14,0,8:32,50
781,Lucas Carlsson,20192020,CHI,L,D,6,0,1,1,3,0,0.17,0,1,0,0,0,0,0,0,3,0,14:08,--
782,Kiefer Sherwood,20192020,ANA,R,L,10,0,1,1,-1,6,0.1,0,1,0,0,0,0,0,0,17,0,13:20,75
783,Lean Bergmann,20192020,SJS,L,C,12,0,1,1,-6,4,0.08,0,1,0,0,0,0,0,0,11,0,8:16,0
784,Timothy Liljegren,20192020,TOR,R,D,11,0,1,1,-5,2,0.09,0,1,0,0,0,0,0,0,2,0,10:18,--
785,Lias Andersson,20192020,NYR,L,C,17,0,1,1,-8,4,0.06,0,1,0,0,0,0,0,0,13,0,9:33,46.6
786,Chris Stewart,20192020,PHI,R,R,16,0,1,1,-7,21,0.06,0,1,0,0,0,0,0,0,5,0,7:47,--
787,Martin Fehervary,20192020,WSH,L,D,6,0,1,1,-2,6,0.17,0,1,0,0,0,0,0,0,7,0,15:59,--
788,Jonny Brodzinski,20192020,SJS,R,C,3,0,1,1,0,0,0.33,0,1,0,0,0,0,0,0,5,0,7:24,0
789,Tyler Benson,20192020,EDM,L,L,7,0,1,1,-1,0,0.14,0,1,0,0,0,0,0,0,5,0,10:23,100
790,Anton Lindholm,20192020,COL,L,D,4,0,1,1,1,0,0.25,0,1,0,0,0,0,0,0,1,0,11:47,--
791,Pontus Aberg,20192020,TOR,R,L,5,0,1,1,0,0,0.2,0,1,0,0,0,0,0,0,4,0,8:42,--
792,Eetu Luostarinen,20192020,CAR,L,C,8,0,1,1,-2,0,0.13,0,1,0,0,0,0,0,0,9,0,9:59,52.4
793,Nick Seeler,20192020,MIN,L,D,12,0,1,1,-8,15,0.08,0,1,0,0,0,0,0,0,5,0,11:56,--
794,Aaron Ness,20192020,ARI,L,D,24,0,1,1,1,0,0.04,0,1,0,0,0,0,0,0,11,0,12:32,--
795,Jason Robertson,20192020,DAL,L,L,3,0,1,1,0,0,0.33,0,0,0,1,0,0,0,0,4,0,12:19,--
796,Gustav Lindstrom,20192020,DET,R,D,16,0,1,1,-6,14,0.06,0,0,0,1,0,0,0,0,9,0,16:32,--
797,Jonathan Davidsson,20192020,OTT,R,R,6,0,1,1,0,0,0.17,0,1,0,0,0,0,0,0,3,0,5:31,--
798,Jean-Sebastien Dea,20192020,BUF,R,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:38,50
799,Michael Chaput,20192020,ARI,L,C,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,0,10:01,53.9
800,Nikolay Goldobin,20192020,VAN,L,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,8:37,--
801,Chase De Leo,20192020,ANA,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14:59,0
802,Paul Carey,20192020,BOS,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,6:22,--
803,Gustav Olofsson,20192020,MTL,L,D,3,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,2,0,8:06,--
804,Dalton Smith,20192020,BUF,L,L,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,--,1:26,--
805,Boo Nieves,20192020,NYR,L,C,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,7:32,73.7
806,Jordan Szwarz,20192020,OTT,R,C,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4:55,44.4
807,Henrik Borgstrom,20192020,FLA,L,C,4,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,3,0,12:23,48.2
808,Luke Johnson,20192020,MIN,R,C,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,0,11:35,50
809,Brett Seney,20192020,NJD,L,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,9:56,0
810,Michael Sgarbossa,20192020,WSH,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8:07,50
811,Josh Norris,20192020,OTT,L,C,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,17:55,61.2
812,CJ Suess,20192020,WPG,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,6:26,25
813,Rhett Gardner,20192020,DAL,L,C,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,10:08,47.2
814,Jake Walman,20192020,STL,L,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11:04,--
815,Beck Malenstyn,20192020,WSH,L,L,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,9:16,--
816,Dylan McIlrath,20192020,DET,R,D,16,0,0,0,-4,23,0,0,0,0,0,0,0,0,0,14,0,14:49,--
817,Gabriel Dumont,20192020,MIN,R,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,0,11:30,40
818,Joona Luoto,20192020,WPG,L,L,16,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,9,0,6:35,--
819,Max Veronneau,20192020,OTT,R,R,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,8:25,--
820,Otto Koivula,20192020,NYI,L,L,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,7:55,36.9
821,Ashton Sautner,20192020,VAN,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2:49,--
822,Kole Sherwood,20192020,CBJ,R,R,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,6:38,0
823,Christian Wolanin,20192020,OTT,L,D,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,17:41,--
824,Lukas Radil,20192020,SJS,R,C,14,0,0,0,-3,8,0,0,0,0,0,0,0,0,0,12,0,9:24,25
825,Nikolai Knyzhov,20192020,SJS,L,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,--,10:49,--
826,Oliver Wahlstrom,20192020,NYI,R,R,9,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,9,0,10:17,0
827,Jayson Megna,20192020,COL,R,C,8,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,4,0,6:43,0
828,Tyler Lewington,20192020,WSH,R,D,6,0,0,0,-2,17,0,0,0,0,0,0,0,0,0,2,0,10:10,--
829,Mark Letestu,20192020,WPG,R,C,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10:36,54.4
830,Urho Vaakanainen,20192020,BOS,L,D,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,16:51,--
831,Gabriel Carlsson,20192020,CBJ,L,D,6,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,3,0,10:53,--
832,Steven Santini,20192020,NSH,R,D,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,9:33,--
833,Zach Trotman,20192020,PIT,R,D,8,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,11,0,14:43,--
834,Jonathan Ericsson,20192020,DET,L,D,18,0,0,0,-12,4,0,0,0,0,0,0,0,0,0,16,0,14:15,--
835,Josh Jacobs,20192020,NJD,R,D,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,16:36,--
836,Brandon Davidson,20192020,CGY,L,D,12,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,17,0,12:29,--
837,Marko Dano,20192020,CBJ,L,L,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,2,0,7:10,--
838,Keegan Kolesar,20192020,VGK,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12:06,100
839,Jaret Anderson-Dolan,20192020,LAK,L,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,10:16,38.5
840,John Gilmour,20192020,BUF,L,D,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,5,0,17:03,--
841,Karl Alzner,20192020,MTL,L,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,13:55,--
842,Calvin Thurkauf,20192020,CBJ,L,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8:15,100
843,Otto Leskinen,20192020,MTL,L,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10:18,--
844,Austin Poganski,20192020,STL,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:54,--
845,Riley Barber,20192020,MTL,R,R,9,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,6,0,8:15,100
846,Sheldon Dries,20192020,COL,L,C,5,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,6:52,66.7
847,Lawrence Pilut,20192020,BUF,L,D,13,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,6,0,16:14,--
848,Alexandre Carrier,20192020,NSH,R,D,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,10:47,--
849,Colton White,20192020,NJD,L,D,6,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,2,0,13:59,--
850,Brennan Menell,20192020,MIN,R,D,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,13:59,--
851,Joachim Blichfeld,20192020,SJS,R,R,3,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,3,0,12:46,--
852,Tage Thompson,20192020,BUF,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,6:59,--
853,Derrick Pouliot,20192020,STL,L,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,8:20,--
854,Anton Wedin,20192020,CHI,L,L,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,9:04,--
855,Cameron Hughes,20192020,BOS,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,9:53,--
856,Trent Frederic,20192020,BOS,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,6:26,--
857,German Rubtsov,20192020,PHI,L,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,6:48,42.9
858,Nicolas Beaudin,20192020,CHI,L,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,17:01,--
859,Brandon Hagel,20192020,CHI,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11:48,--
860,Thomas Di Pauli,20192020,PIT,L,C,2,0,0,0,-3,10,0,0,0,0,0,0,0,0,0,2,0,5:59,--
861,Samuel Morin,20192020,PHI,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,12:32,--
862,John Quenneville,20192020,CHI,L,C,9,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,14,0,11:03,75
863,Justin Bailey,20192020,VAN,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5:20,--
864,Steven Fogarty,20192020,NYR,R,C,7,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,5:53,66.7
865,Dalton Prout,20192020,SJS,R,D,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,12:49,--
866,Anton Blidh,20192020,BOS,L,L,7,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,9,0,11:31,0
867,Anthony Richard,20192020,NSH,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,4:10,--
868,Kevin Connauton,20192020,COL,L,D,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,4,0,15:30,--
869,Kevin Gravel,20192020,TOR,L,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11:05,--
870,Evgeny Svechnikov,20192020,DET,L,R,4,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,7,0,8:20,--
871,Maxime Lajoie,20192020,OTT,L,D,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7:49,--
872,Alexander Yelesin,20192020,CGY,R,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12:30,--
873,Janne Kuokkanen,20192020,NJD,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,12:04,--
874,Kale Clague,20192020,LAK,L,D,4,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,2,0,14:34,--
875,Jake Bischoff,20192020,VGK,L,D,4,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,6,0,15:36,--
876,Conor Timmins,20192020,COL,R,D,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,10:25,--
877,Danil Yurtaykin,20192020,SJS,R,L,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,13:00,--
878,Trevor Carrick,20192020,SJS,L,D,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,5:47,--
879,Tobias Bjornfot,20192020,LAK,L,D,3,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,--,12:58,--
880,William Lagesson,20192020,EDM,L,D,8,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,8,0,11:52,--
881,Andrei Chibisov,20192020,WPG,L,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7:27,--
882,Brian Gibbons,20192020,CAR,L,C,15,0,0,0,-7,4,0,0,0,0,0,0,0,0,0,9,0,9:46,--
